fein,employer_name,lca_count,certified_count,worksite_cities
83-2068096,"BENEFICIAL TECH SERVICES, INC",4,4,"CHICAGO,LINCOLNWOOD,WEST CHICAGO"
82-4696126,Topsys IT Solutions LLC,4,4,Chicago
81-4949788,"BMR INFOTEK, INC",4,4,SCHAUMBURG
81-4411723,INFI USA INC,4,3,Chicago
81-4123561,Majestic IT Services Inc,4,4,Chicago
81-2739607,Reveal Data Corporation,4,4,Chicago
81-2082500,"Marketing Attribution, LLC",4,3,"Evanston,Chicago"
81-1090117,Senga Architects Inc.,4,4,Chicago
77-0560389,"Fortinet, Inc.",4,4,Chicago
77-0019522,Adobe Inc.,4,4,Chicago
75-1082838,"HKS, Inc.",4,4,Chicago
61-1899386,WEST SUBURBAN MEDICAL CENTER,4,4,OAK PARK
59-0593886,American Bankers Insurance Company of Florida,4,4,"Elk Grove Village,Schaumburg,Chicago"
52-2228835,"GroupM Worldwide, LLC",4,4,Chicago
52-1631419,Rio Tinto Services Inc.,4,4,Chicago
47-5222442,DM LOGIC ASSOCIATES CORP.,4,4,SCHAUMBURG
47-4964396,A Squared Businesses and Consulting,4,2,"Chicago,CHICAGO"
47-2739181,Bhuvi IT Solutions Inc,4,4,Schaumburg
46-3804633,"Living the Language, LLC",4,4,Chicago
46-2972184,"Databricks, Inc.",4,4,Chicago
46-2951591,L&T Technology Services Limited,4,4,"Chicago,McCook"
46-2863480,"e-Zest Solutions, Inc.",4,4,Elk Grove Village
46-0492353,"Quinnox, Inc.",4,4,"Chicago,Rosemont"
45-2453557,"BIG, NFP",4,2,Chicago
43-2077033,"Synechron, Inc.",4,4,Chicago
43-1723985,"Hellmuth, Obata & Kassabaum, Inc.",4,4,Chicago
43-1339079,"Clayco, Inc.",4,4,Chicago
43-0956142,"BURNS & MCDONNELL ENGINEERING COMPANY, INC.",4,4,CHICAGO
38-0549190,FORD MOTOR COMPANY,4,4,Chicago
